Marital status,Application mode,Application order,Course,Daytime/evening attendance,Previous qualification,Previous qualification (grade),Nacionality,Mother's qualification,Father's qualification,Mother's occupation,Father's occupation,Admission grade,Displaced,Educational special needs,Debtor,Tuition fees up to date,Gender,Scholarship holder,Age at enrollment,International,Curricular units 1st sem (credited),Curricular units 1st sem (enrolled),Curricular units 1st sem (evaluations),Curricular units 1st sem (approved),Curricular units 1st sem (grade),Curricular units 1st sem (without evaluations),Curricular units 2nd sem (credited),Curricular units 2nd sem (enrolled),Curricular units 2nd sem (evaluations),Curricular units 2nd sem (approved),Curricular units 2nd sem (grade),Curricular units 2nd sem (without evaluations),Unemployment rate,Inflation rate,GDP,Target,Age at enrollment__is_outlier,Curricular units 1st sem (evaluations)__is_outlier,Curricular units 2nd sem (evaluations)__is_outlier,Delta_Grade,Grade_Improvement,Grade_Decline,CR_Sem1,CR_Sem2,Delta_CR,Completion_Collapse,Fail_Crossing,Borderline_Collapse,EvalPressure_Sem1,EvalPressure_Sem2,Delta_EvalPressure,GhostRate_Sem1,GhostRate_Sem2,Delta_GhostRate,Ghost_Worsening,Academic_Stress,Academic_Stress_Level,Home_Support_Risk,Subject_Specific,Subject_Risk_Flag,Subject_Difficulty_Score
1,1,3,9500,1,1,134.0,1,1,37,8,7,120.5,1,0,0,1,1,1,18,0,0,7,12,7,11.716666666666663,0,0,8,13,4,10.868,0,15.5,2.8,0.0,Graduate,0,0,0,-0.8486666666666629,0,1,1.0,0.5,-0.5,1,0,0,1.7142857142857142,1.625,-0.08928571428571419,0.0,0.0,0.0,0,0.2741182862280037,Low,0.0,Math,1,1.0
1,1,2,9500,1,1,140.0,1,38,38,9,7,138.8,1,0,0,1,0,0,19,0,0,7,7,6,12.766666666666666,0,0,7,7,6,12.766666666666666,0,7.6,2.6,0.32,Graduate,0,0,0,0.0,0,0,0.8571428571428571,0.8571428571428571,0.0,0,0,0,1.0,1.0,0.0,0.0,0.0,0.0,0,,,,No_Feedback,0,
1,7,1,9500,1,3,140.0,1,1,1,9,5,140.0,0,0,0,1,0,0,33,0,2,7,8,6,14.35,0,3,8,10,6,14.583333333333334,0,16.2,0.3,0.0,Dropout,0,0,0,0.23333333333333428,1,0,0.8571428571428571,0.75,-0.1071428571428571,0,0,0,1.1428571428571428,1.25,0.1071428571428572,0.0,0.0,0.0,0,,,,No_Feedback,0,
1,1,2,9500,1,1,137.0,1,19,19,7,7,120.8,1,0,0,1,0,1,18,0,0,8,8,7,14.654285714285717,0,0,8,8,7,14.654285714285717,0,10.8,1.4,1.74,Graduate,0,0,0,0.0,0,0,0.875,0.875,0.0,0,0,0,1.0,1.0,0.0,0.0,0.0,0.0,0,0.0,Low,0.09010995227183874,None,0,0.0
1,17,4,9254,1,1,124.0,1,1,1,4,4,122.3,1,0,0,1,0,0,19,0,0,6,7,6,11.666666666666666,0,0,6,6,6,12.333333333333334,0,13.9,0.0,0.79,Dropout,0,0,0,0.6666666666666679,1,0,1.0,1.0,0.0,0,0,0,1.1666666666666667,1.0,-0.16666666666666674,0.0,0.0,0.0,0,0.004522270899998257,Low,0.0,None,0,0.0
5,1,3,9085,1,1,133.0,1,19,19,4,7,119.7,1,0,0,1,0,0,21,0,0,5,13,5,12.2,2,0,5,10,3,11.333333333333334,1,9.4,0.0,0.0,Enrolled,0,0,0,-0.8666666666666654,0,1,1.0,0.6,-0.4,1,0,0,2.6,2.0,-0.6000000000000001,0.4,0.2,-0.2,0,0.24845312352144183,Low,0.054630320414434136,Other,1,0.3
1,1,1,9500,1,1,139.0,1,37,38,6,6,121.3,1,0,0,1,0,1,19,0,0,8,10,6,11.833333333333334,0,0,8,10,6,11.833333333333334,0,9.4,0.0,0.0,Enrolled,0,0,0,0.0,0,0,0.75,0.75,0.0,0,0,0,1.25,1.25,0.0,0.0,0.0,0.0,0,0.0748215807188468,Low,0.04705847743453606,None,0,0.0
1,1,1,171,1,1,156.0,1,3,3,2,2,147.7,1,0,0,1,0,0,21,0,6,12,12,12,15.333333333333334,0,4,11,15,11,15.0,0,8.9,1.4,3.51,Graduate,0,0,0,-0.3333333333333339,0,1,1.0,1.0,0.0,0,0,0,1.0,1.3636363636363635,0.36363636363636354,0.0,0.0,0.0,0,0.0,Low,0.0,None,0,0.0
1,17,1,9147,1,1,115.0,1,19,19,7,7,115.0,1,0,0,1,0,0,23,0,0,5,7,2,10.0,1,0,5,9,1,12.0,0,9.4,0.0,0.0,Enrolled,0,0,0,2.0,1,0,0.4,0.2,-0.2,0,0,0,1.4,1.8,0.40000000000000013,0.2,0.0,-0.2,0,0.4322974503617668,Medium,0.1912400749516284,None,0,0.0
1,1,2,9670,1,1,120.0,1,3,19,4,5,115.5,1,0,0,1,0,0,18,0,0,6,8,5,13.0,0,0,6,8,5,14.0,0,13.9,0.0,0.79,Graduate,0,0,0,1.0,1,0,0.8333333333333334,0.8333333333333334,0.0,0,0,0,1.3333333333333333,1.3333333333333333,0.0,0.0,0.0,0.0,0,0.07723293614779496,Low,0.20189025117574727,None,0,0.0
1,1,1,9238,1,1,145.0,1,19,37,4,7,148.9,1,0,0,1,0,1,18,0,0,6,6,6,13.666666666666666,0,0,6,6,6,13.0,0,10.8,1.4,1.74,Graduate,0,0,0,-0.6666666666666661,0,1,1.0,1.0,0.0,0,0,0,1.0,1.0,0.0,0.0,0.0,0.0,0,0.0833573802769903,Low,0.0,None,0,0.0
1,39,1,9238,1,19,133.1,1,37,37,9,9,139.0,0,0,1,0,1,0,33,0,0,6,8,0,0.0,0,0,5,6,0,0.0,0,16.2,0.3,0.0,Dropout,0,0,0,0.0,0,0,0.0,0.0,0.0,0,0,0,1.3333333333333333,1.2,-0.1333333333333333,0.0,0.0,0.0,0,0.4466399693560833,Medium,1.0,Math,1,1.0
1,39,1,9085,1,19,133.1,1,37,37,9,9,100.0,1,0,1,0,0,1,26,0,0,6,7,0,0.0,0,0,6,6,0,0.0,0,13.9,0.0,0.79,Dropout,0,0,0,0.0,0,0,0.0,0.0,0.0,0,0,0,1.1666666666666667,1.0,-0.16666666666666674,0.0,0.0,0.0,0,0.6220821298813048,Medium,0.571545975982139,Math,1,1.0
1,1,1,9238,1,1,136.0,1,19,38,9,9,121.7,0,1,0,1,0,1,20,0,0,6,9,6,11.875,0,0,6,7,6,14.428571428571429,0,16.2,0.3,0.0,Graduate,0,0,0,2.553571428571429,1,0,1.0,1.0,0.0,0,0,0,1.5,1.1666666666666667,-0.33333333333333326,0.0,0.0,0.0,0,0.0,Low,0.12743767965699257,Language,1,0.5
1,17,1,9003,1,1,133.0,1,38,37,9,9,125.3,1,0,0,1,0,0,21,0,12,18,22,18,11.88888888888889,1,11,13,13,13,11.461538461538462,0,15.5,2.8,0.0,Graduate,0,0,0,-0.4273504273504276,0,1,1.0,1.0,0.0,0,0,0,1.2222222222222223,1.0,-0.22222222222222232,0.05555555555555555,0.0,-0.05555555555555555,0,0.19257154976931065,Low,0.0,None,0,0.0
1,1,1,9670,1,1,122.0,1,12,12,5,7,126.6,1,0,0,1,0,0,18,0,0,6,8,6,14.625,0,0,6,9,6,14.142857142857142,0,11.1,0.6,2.02,Enrolled,0,0,0,-0.48214285714285765,0,1,1.0,1.0,0.0,0,0,0,1.3333333333333333,1.5,0.16666666666666674,0.0,0.0,0.0,0,,,,No_Feedback,0,
6,17,3,8014,0,1,115.0,1,19,1,5,90,115.0,0,0,0,0,0,0,24,0,0,5,5,0,0.0,0,0,5,10,0,0.0,0,10.8,1.4,1.74,Dropout,0,0,0,0.0,0,0,0.0,0.0,0.0,0,0,0,1.0,2.0,1.0,0.0,0.0,0.0,0,0.5434770064556891,Medium,0.35765207011977684,Math,1,1.0
1,43,1,8014,0,1,148.0,1,37,37,9,9,134.7,0,0,0,1,0,0,23,0,9,13,15,9,11.0,0,4,11,12,7,11.571428571428571,0,15.5,2.8,0.0,Enrolled,0,0,0,0.5714285714285712,1,0,0.6923076923076923,0.6363636363636364,-0.05594405594405594,0,0,0,1.1538461538461537,1.0909090909090908,-0.06293706293706292,0.0,0.0,0.0,0,0.22936125007084418,Low,0.057306174361948174,None,0,0.0
1,1,1,9147,1,1,129.0,1,37,38,4,9,121.0,1,0,0,1,0,0,18,0,0,5,8,2,10.5,0,0,5,7,3,12.333333333333334,0,7.6,2.6,0.32,Enrolled,0,0,0,1.833333333333334,1,0,0.4,0.6,0.19999999999999996,0,0,0,1.6,1.4,-0.20000000000000018,0.0,0.0,0.0,0,0.12044429320591177,Low,0.0,Math,1,1.0
1,17,2,9773,1,1,120.0,1,1,1,2,5,127.0,1,0,0,0,1,0,18,0,0,6,6,0,0.0,0,0,6,0,0,0.0,0,8.9,1.4,3.51,Dropout,0,0,0,0.0,0,0,0.0,0.0,0.0,0,0,0,1.0,0.0,-1.0,0.0,0.0,0.0,0,0.5424393937861013,Medium,0.04320425524582337,Math,1,1.0
1,44,1,9085,1,39,140.0,1,3,38,2,9,140.0,1,0,0,1,0,0,21,0,7,12,18,8,12.25,0,4,12,27,8,12.2,0,12.4,0.5,1.79,Enrolled,0,0,1,-0.05000000000000071,0,1,0.6666666666666666,0.6666666666666666,0.0,0,0,0,1.5,2.25,0.75,0.0,0.0,0.0,0,0.2971185336426826,Low,0.0,None,0,0.0
1,1,3,9773,1,1,142.0,1,34,1,5,10,136.1,1,0,0,0,1,0,19,0,0,4,8,0,0.0,1,0,6,0,0,0.0,0,9.4,0.0,0.0,Dropout,0,0,0,0.0,0,0,0.0,0.0,0.0,0,0,0,2.0,0.0,-2.0,0.25,0.0,-0.25,0,0.27831811606459356,Low,0.0667280306336232,Language,1,0.5
2,51,1,9500,1,1,130.0,1,37,37,5,5,120.0,0,0,0,1,1,0,44,0,0,7,11,5,12.1,0,0,7,10,5,12.6,0,11.1,0.6,2.02,Dropout,1,0,0,0.5,1,0,0.7142857142857143,0.7142857142857143,0.0,0,0,0,1.5714285714285714,1.4285714285714286,-0.1428571428571428,0.0,0.0,0.0,0,0.19313162360622432,Low,0.8617348578746423,Language,1,0.5
1,1,3,9773,1,1,149.0,1,1,3,0,0,148.7,0,0,0,0,1,0,20,0,0,4,4,0,0.0,0,0,4,8,0,0.0,0,10.8,1.4,1.74,Dropout,0,0,0,0.0,0,0,0.0,0.0,0.0,0,0,0,1.0,2.0,1.0,0.0,0.0,0.0,0,,,,No_Feedback,0,
1,7,1,8014,0,3,140.0,1,1,1,4,4,140.0,0,0,0,1,0,0,30,0,0,6,0,0,0.0,0,0,6,0,0,0.0,0,10.8,1.4,1.74,Dropout,0,0,0,0.0,0,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,,,,No_Feedback,0,
1,1,1,9670,1,1,131.0,1,37,37,9,9,123.0,1,0,0,1,0,1,18,0,0,5,6,3,11.666666666666666,0,0,5,6,4,13.5,0,7.6,2.6,0.32,Enrolled,0,0,0,1.833333333333334,1,0,0.6,0.8,0.20000000000000007,0,0,0,1.2,1.2,0.0,0.0,0.0,0.0,0,,,,No_Feedback,0,
1,1,1,9238,1,1,151.0,1,37,1,9,9,138.4,1,0,0,1,0,1,20,0,0,6,8,6,14.25,0,0,6,8,6,11.0,0,12.7,3.7,0.0,Graduate,0,0,0,-3.25,0,1,1.0,1.0,0.0,0,0,0,1.3333333333333333,1.3333333333333333,0.0,0.0,0.0,0.0,0,0.10432179666079461,Low,0.1463735005932845,Language,1,0.5
1,1,1,9147,1,1,127.0,1,1,4,9,10,121.8,0,0,0,1,1,0,19,0,0,5,8,5,11.6,0,0,5,10,4,13.5,3,16.2,0.3,0.0,Graduate,0,0,0,1.9000000000000004,1,0,1.0,0.8,-0.19999999999999996,0,0,0,1.6,2.0,0.3999999999999999,0.0,0.6,0.6,1,0.0,Low,0.0013286555503343068,None,0,0.0
1,1,1,9670,1,1,141.0,1,1,19,4,4,132.6,0,0,0,1,0,1,18,0,0,6,8,6,14.0,0,0,6,7,6,13.142857142857142,0,11.1,0.6,2.02,Graduate,0,0,0,-0.8571428571428577,0,1,1.0,1.0,0.0,0,0,0,1.3333333333333333,1.1666666666666667,-0.16666666666666652,0.0,0.0,0.0,0,0.023063369958674695,Low,0.0,Language,1,0.5
1,44,3,9085,1,39,150.0,1,1,19,4,1,150.0,1,0,0,1,0,0,19,0,0,5,10,1,13.0,1,0,5,8,3,15.333333333333334,0,12.7,3.7,0.0,Enrolled,0,0,0,2.333333333333334,1,0,0.2,0.6,0.39999999999999997,0,0,0,2.0,1.6,-0.3999999999999999,0.2,0.0,-0.2,0,0.4067906338163552,Medium,0.14668084083167063,None,0,0.0
1,1,1,9085,1,1,123.0,1,3,1,2,5,112.9,0,0,0,1,1,0,18,0,0,5,5,0,0.0,0,0,5,5,0,0.0,0,7.6,2.6,0.32,Dropout,0,0,0,0.0,0,0,0.0,0.0,0.0,0,0,0,1.0,1.0,0.0,0.0,0.0,0.0,0,0.3168317752793974,Low,0.0,None,0,0.0
1,17,1,9147,1,1,120.0,1,38,38,9,8,118.3,0,0,0,1,1,0,18,0,0,5,13,1,10.0,0,0,5,5,1,10.0,0,12.7,3.7,0.0,Dropout,0,0,0,0.0,0,0,0.2,0.2,0.0,0,0,0,2.6,1.0,-1.6,0.0,0.0,0.0,0,0.2948690088360656,Low,0.0,Math,1,1.0
1,16,1,9085,1,1,140.0,1,1,1,9,9,127.1,1,0,0,1,0,0,18,0,0,5,8,4,13.25,1,0,5,10,4,10.5,0,12.7,3.7,0.0,Graduate,0,0,0,-2.75,0,1,0.8,0.8,0.0,0,0,0,1.6,2.0,0.3999999999999999,0.2,0.0,-0.2,0,0.3872431683179626,Medium,0.2028059048961489,Math,1,1.0
1,17,4,9085,1,1,126.0,1,1,3,5,5,123.9,1,0,0,1,1,0,21,0,0,6,0,0,0.0,0,0,6,0,0,0.0,0,10.8,1.4,1.74,Dropout,0,0,0,0.0,0,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,,,,No_Feedback,0,
1,1,5,9500,1,1,144.0,1,37,37,7,9,126.8,1,0,1,0,0,0,18,0,0,7,0,0,0.0,0,0,8,0,0,0.0,0,9.4,0.0,0.0,Dropout,0,0,0,0.0,0,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.4896568775709716,Medium,0.3938127806531196,Language,1,0.5
1,1,6,9119,1,1,126.0,1,19,19,7,3,116.6,1,0,0,1,1,1,20,0,0,5,6,5,14.0,0,0,5,7,5,13.8,0,8.9,1.4,3.51,Graduate,0,0,0,-0.1999999999999993,0,1,1.0,1.0,0.0,0,0,0,1.2,1.4,0.19999999999999996,0.0,0.0,0.0,0,0.0,Low,0.32386817319049377,None,0,0.0
1,1,1,9238,1,1,168.0,1,37,37,9,9,149.5,0,0,0,1,0,0,18,0,0,6,10,6,17.0,0,0,6,11,6,16.0,0,12.4,0.5,1.79,Graduate,0,0,0,-1.0,0,1,1.0,1.0,0.0,0,0,0,1.6666666666666667,1.8333333333333333,0.16666666666666652,0.0,0.0,0.0,0,0.2595843501809159,Low,0.013697209291702444,None,0,0.0
1,1,1,171,1,1,133.1,1,3,1,2,4,128.2,1,0,0,1,0,0,20,0,5,12,13,12,11.23076923076923,0,3,11,18,9,12.77777777777778,0,11.1,0.6,2.02,Graduate,0,0,0,1.5470085470085504,1,0,1.0,0.8181818181818182,-0.18181818181818177,0,0,0,1.0833333333333333,1.6363636363636365,0.5530303030303032,0.0,0.0,0.0,0,0.25035333008401056,Low,0.0,Language,1,0.5
1,17,2,9500,1,1,130.0,1,38,38,7,7,122.5,1,0,0,1,0,0,19,0,0,8,8,7,13.937142857142858,0,0,8,8,7,13.937142857142858,0,10.8,1.4,1.74,Graduate,0,0,0,0.0,0,0,0.875,0.875,0.0,0,0,0,1.0,1.0,0.0,0.0,0.0,0.0,0,0.13039469877622328,Low,0.0,None,0,0.0
1,1,4,9500,1,1,144.0,1,3,39,2,3,129.0,1,0,0,1,0,0,18,0,0,7,8,7,12.65,0,0,8,9,8,13.411111111111111,0,16.2,0.3,0.0,Dropout,0,0,0,0.7611111111111111,1,0,1.0,1.0,0.0,0,0,0,1.1428571428571428,1.125,-0.017857142857142794,0.0,0.0,0.0,0,0.0,Low,0.24556236119891134,Math,1,1.0
1,1,1,9119,1,1,121.0,1,3,1,2,3,114.0,0,0,0,1,1,0,20,0,0,5,9,4,11.6,0,0,5,7,4,12.25,2,7.6,2.6,0.32,Enrolled,0,0,0,0.6500000000000004,1,0,0.8,0.8,0.0,0,0,0,1.8,1.4,-0.40000000000000013,0.0,0.4,0.4,0,,,,No_Feedback,0,
1,17,2,9773,1,1,126.0,1,19,38,9,8,118.7,1,0,0,1,0,1,18,0,0,6,6,6,14.166666666666666,0,0,6,6,6,13.666666666666666,0,12.4,0.5,1.79,Graduate,0,0,0,-0.5,0,1,1.0,1.0,0.0,0,0,0,1.0,1.0,0.0,0.0,0.0,0.0,0,,,,No_Feedback,0,
1,1,3,9500,1,1,136.0,1,1,1,4,4,127.0,1,0,0,1,0,0,19,0,0,8,10,1,13.67,7,0,8,10,1,13.67,7,9.4,0.0,0.0,Enrolled,0,0,0,0.0,0,0,0.125,0.125,0.0,0,0,0,1.25,1.25,0.0,0.875,0.875,0.0,0,,,,No_Feedback,0,
1,17,2,9556,1,1,133.1,1,37,38,9,8,106.0,1,0,0,1,0,0,19,0,0,7,16,2,12.75,0,0,7,12,2,11.0,0,8.9,1.4,3.51,Dropout,0,0,0,-1.75,0,1,0.2857142857142857,0.2857142857142857,0.0,0,0,0,2.2857142857142856,1.7142857142857142,-0.5714285714285714,0.0,0.0,0.0,0,,,,No_Feedback,0,
1,17,4,9119,1,1,122.0,62,1,1,191,171,121.0,1,0,0,1,1,0,20,1,0,5,10,4,14.25,0,0,5,14,1,10.0,0,8.9,1.4,3.51,Enrolled,0,0,0,-4.25,0,1,0.8,0.2,-0.6000000000000001,0,0,0,2.0,2.8,0.7999999999999998,0.0,0.0,0.0,0,0.7004417041137404,High,0.454537454095435,Language,1,0.5
2,39,2,8014,0,1,100.0,1,34,34,0,0,100.0,1,0,0,1,0,0,41,0,0,6,9,5,11.8,0,1,6,10,3,10.666666666666666,1,7.6,2.6,0.32,Graduate,0,0,0,-1.1333333333333346,0,1,0.8333333333333334,0.5,-0.33333333333333337,0,0,0,1.5,1.6666666666666667,0.16666666666666674,0.0,0.16666666666666666,0.16666666666666666,0,,,,No_Feedback,0,
1,17,1,9670,1,1,149.0,1,19,37,7,4,134.3,0,1,0,1,0,0,20,0,0,6,7,6,12.666666666666666,0,0,6,9,6,13.77777777777778,0,10.8,1.4,1.74,Graduate,0,0,0,1.1111111111111143,1,0,1.0,1.0,0.0,0,0,0,1.1666666666666667,1.5,0.33333333333333326,0.0,0.0,0.0,0,0.13764964500195379,Low,0.0,Math,1,1.0
1,1,3,9085,1,1,142.0,1,11,11,90,90,155.3,0,0,0,1,0,0,19,0,0,5,5,5,15.2,0,0,5,6,5,13.2,0,7.6,2.6,0.32,Graduate,0,0,0,-2.0,0,1,1.0,1.0,0.0,0,0,0,1.0,1.2,0.19999999999999996,0.0,0.0,0.0,0,0.13131321400131554,Low,0.16992070457622108,None,0,0.0
1,1,1,9500,1,1,147.0,1,38,19,5,8,147.3,0,0,0,1,0,0,18,0,0,7,7,6,13.966666666666669,0,0,7,7,6,13.966666666666669,0,7.6,2.6,0.32,Graduate,0,0,0,0.0,0,0,0.8571428571428571,0.8571428571428571,0.0,0,0,0,1.0,1.0,0.0,0.0,0.0,0.0,0,0.14013515101446308,Low,0.23960959398324347,None,0,0.0
1,1,1,9773,1,1,133.1,1,1,3,9,9,116.0,0,0,0,1,1,0,20,0,0,6,8,6,11.5,0,0,6,8,6,11.0,0,16.2,0.3,0.0,Graduate,0,0,0,-0.5,0,1,1.0,1.0,0.0,0,0,0,1.3333333333333333,1.3333333333333333,0.0,0.0,0.0,0.0,0,0.1716540859278603,Low,0.09670347049263499,None,0,0.0
1,1,6,171,1,1,134.0,1,19,37,5,5,126.0,1,0,0,1,0,1,18,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,9.4,0.0,0.0,Graduate,0,0,0,0.0,0,0,,,,0,0,0,,,,,,,0,0.13884197504864487,Low,0.0,None,0,0.0
1,7,1,9773,1,43,140.0,1,19,1,4,8,140.0,0,0,0,1,1,0,25,0,0,6,6,6,14.666666666666666,0,0,6,6,6,13.5,0,11.1,0.6,2.02,Graduate,0,0,0,-1.166666666666666,0,1,1.0,1.0,0.0,0,0,0,1.0,1.0,0.0,0.0,0.0,0.0,0,0.054750775462687015,Low,0.09007539177202974,None,0,0.0
1,1,2,9556,1,1,136.0,1,19,19,9,9,129.5,1,0,0,1,0,0,18,0,0,7,9,7,15.155555555555557,0,0,8,8,8,16.8,0,12.7,3.7,0.0,Graduate,0,0,0,1.644444444444444,1,0,1.0,1.0,0.0,0,0,0,1.2857142857142858,1.0,-0.2857142857142858,0.0,0.0,0.0,0,,,,No_Feedback,0,
1,1,2,9500,1,1,124.0,1,34,34,0,0,123.3,1,0,0,1,0,1,20,0,0,8,8,7,14.901428571428571,1,0,8,8,7,14.901428571428571,1,9.4,0.0,0.0,Dropout,0,0,0,0.0,0,0,0.875,0.875,0.0,0,0,0,1.0,1.0,0.0,0.125,0.125,0.0,0,0.0,Low,0.04813950928884863,None,0,0.0
1,1,1,9254,1,1,132.0,1,19,38,9,7,120.1,0,0,0,1,0,1,20,0,0,6,6,6,12.333333333333334,0,0,6,7,6,11.833333333333334,0,13.9,0.0,0.79,Graduate,0,0,0,-0.5,0,1,1.0,1.0,0.0,0,0,0,1.0,1.1666666666666667,0.16666666666666674,0.0,0.0,0.0,0,0.05967099776049199,Low,0.0,None,0,0.0
1,17,2,9556,1,1,136.0,1,1,1,9,9,128.3,0,0,0,1,0,1,18,0,0,7,7,7,13.428571428571429,0,0,8,8,8,14.75,0,15.5,2.8,0.0,Graduate,0,0,0,1.3214285714285712,1,0,1.0,1.0,0.0,0,0,0,1.0,1.0,0.0,0.0,0.0,0.0,0,0.25115565515844235,Low,0.10845569093697957,None,0,0.0
1,1,1,9773,1,1,122.0,1,38,19,9,9,126.6,1,0,0,1,0,0,18,0,0,6,6,6,12.833333333333334,0,0,6,6,6,13.833333333333334,0,8.9,1.4,3.51,Graduate,0,0,0,1.0,1,0,1.0,1.0,0.0,0,0,0,1.0,1.0,0.0,0.0,0.0,0.0,0,0.0,Low,0.012826999445939853,None,0,0.0
